date,location,total_vacancies
2026-07-15,Bristol,12915
2026-07-15,South West,69691
2026-07-16,Bristol,12708
2026-07-16,South West,67256
2026-07-17,Bristol,12553
2026-07-17,South West,67305
2026-07-18,Bristol,12454
2026-07-18,South West,66526
2026-07-19,Bristol,12429
2026-07-19,South West,67024
2026-07-20,Bristol,12312
2026-07-20,South West,65343
2026-07-22,Bristol,12214
2026-07-22,South West,65000
2026-07-23,Bristol,12345
2026-07-23,South West,66313
2026-07-24,Bristol,12691
2026-07-24,South West,68789
2026-07-25,Bristol,12620
2026-07-25,South West,67718
2026-07-28,Bristol,12604
2026-07-28,South West,68553
2026-07-29,Bristol,12628
2026-07-29,South West,68753
2026-07-31,Bristol,12715
2026-07-31,South West,69713
2026-08-01,Bristol,12650
2026-08-01,South West,69485
2026-08-02,Bristol,13012
2026-08-02,South West,71889
2026-08-03,Bristol,12953
2026-08-03,South West,70778
2026-08-04,Bristol,12852
2026-08-04,South West,70705
2026-08-05,Bristol,12905
2026-08-05,South West,70337
2026-08-06,Bristol,12945
2026-08-06,South West,70263
2026-08-07,Bristol,12740
2026-08-07,South West,70014
